GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mq-spring-app,com.ibm.mqclient.exceptions,AppException,11,0,0,0,4,0,2,0,2,0
mq-spring-app,com.ibm.cloud_garage.logging.outbound,LoggingInterceptor,0,32,0,0,0,9,0,3,0,3
mq-spring-app,com.ibm.mqclient.service,MQService,79,0,0,0,22,0,4,0,4,0
mq-spring-app,com.ibm.cloud_garage.swagger,SwaggerDocket,0,80,0,4,0,23,0,8,0,6
mq-spring-app,com.ibm.cloud_garage.swagger,SwaggerConfig,0,124,0,2,0,50,0,29,0,28
mq-spring-app,com.ibm.cloud_garage.swagger,SwaggerConfig.Contact,0,39,0,0,0,16,0,10,0,10
mq-spring-app,com.ibm.cloud_garage.logging,ResponseLoggingContext,0,173,0,18,0,47,0,28,0,19
mq-spring-app,com.ibm.cloud_garage.logging,RequestLoggingContext,0,146,0,16,0,40,0,24,0,16
mq-spring-app,com.ibm.cloud_garage.logging,RequestResponseLoggerImpl,0,177,0,10,0,59,0,13,0,8
mq-spring-app,com.ibm.mqclient.app,Application,55,0,0,0,15,0,6,0,6,0
mq-spring-app,com.ibm.health,HealthEndpoint,0,6,0,0,0,2,0,2,0,2
mq-spring-app,com.ibm.mqclient.model,ErrorResponse,23,0,0,0,10,0,5,0,5,0
mq-spring-app,com.ibm.mqclient.model,ResponseData,12,21,0,0,6,8,3,4,3,4
mq-spring-app,com.ibm.cloud_garage.logging.inbound,ResettableHttpServletRequest,0,73,0,6,0,20,0,11,0,8
mq-spring-app,com.ibm.cloud_garage.logging.inbound,ResettableHttpServletRequest.SimpleServletInputStream,0,88,0,4,0,25,0,17,0,15
mq-spring-app,com.ibm.cloud_garage.logging.inbound,ReaderHelper,0,39,0,4,0,10,0,4,0,2
mq-spring-app,com.ibm.cloud_garage.logging.inbound,ClientHttpResponseWrapper,0,68,0,4,0,15,0,9,0,7
mq-spring-app,com.ibm.cloud_garage.logging.inbound,HttpRequestWrapper.EnumerationIterator,0,21,0,2,0,7,0,4,0,3
mq-spring-app,com.ibm.cloud_garage.logging.inbound,HttpRequestWrapper.IterableEnumeration,0,12,0,0,0,4,0,2,0,2
mq-spring-app,com.ibm.cloud_garage.logging.inbound,LoggingFilter,0,87,0,2,0,24,0,9,0,8
mq-spring-app,com.ibm.cloud_garage.logging.inbound,ReaderHelper.LineReadError,0,4,0,0,0,2,0,1,0,1
mq-spring-app,com.ibm.cloud_garage.logging.inbound,SimpleFilter,0,2,0,0,0,2,0,2,0,2
mq-spring-app,com.ibm.cloud_garage.logging.inbound,HttpRequestWrapper,0,109,0,8,0,23,0,11,0,7
mq-spring-app,com.ibm.mqclient.controller,GlobalExceptionHandler,35,0,0,0,7,0,2,0,2,0
mq-spring-app,com.ibm.mqclient.controller,MQClientController,0,46,0,0,0,12,0,4,0,4
